: Nomen: SI/PL
wärmer warm schmutziger schmutzig
weicher weich einfacher einfach
weicher weich dümmer dumm
weicher weich gefährlicher gefährlich
weicher weich billiger billig
weicher weich lustiger lustig
weiter weit näher nahe
weiter weit schneller schnell
weiter weit kälter kalt
weiter weit weicher weich
weiter weit schmaler schmal
weniger wenig ruhiger ruhig
weniger wenig schmutziger schmutzig
weniger wenig bestimmter bestimmt
weniger wenig stiller still
weniger wenig riesiger riesig
wertvoller wertvoll bekannter bekannt
wertvoller wertvoll härter hart
wertvoller wertvoll dunkler dunkel
wertvoller wertvoll spannender spannend
wertvoller wertvoll neuer neu
wichtiger wichtig eckiger eckig
wichtiger wichtig böser böse
wichtiger wichtig schneller schnell
wichtiger wichtig weiter weit
wichtiger wichtig lauter laut
wilder wild höher hoch
wilder wild dreckiger dreckig
wilder wild unterschiedlicher unterschiedlich
wilder wild gerader gerade
wilder wild böser böse
: Adjektive: GR/SUP
ähnlich ähnlichste dunkel dunkelste
ähnlich ähnlichste mutig mutigste
ähnlich ähnlichste natürlich natürlichste
ähnlich ähnlichste leise leiseste
ähnlich ähnlichste gesund gesündeste
alt älteste lustig lustigste
alt älteste still stillste
alt älteste oft öfteste
alt älteste sonnig sonnigste
alt älteste müde müdeste
arm ärmste fröhlich fröhlichste
arm ärmste weit weiteste
arm ärmste jung jüngste
arm ärmste müde müdeste
arm ärmste spannend spannendste
bekannt bekannteste eckig eckigste
bekannt bekannteste kurz kürzeste
bekannt bekannteste krumm krümmste
bekannt bekannteste fröhlich fröhlichste
bekannt bekannteste fröhlich fröhlichste
bestimmt bestimmteste früh frühste
bestimmt bestimmteste leicht leichteste
bestimmt bestimmteste leicht leichteste
bestimmt bestimmteste ruhig ruhigste
bestimmt bestimmteste glücklich glücklichste
billig billigste langsam langsamste
billig billigste dick dickste
billig billigste schwer schwerste
billig billigste sauber sauberste
billig billigste schwer schwerste
böse böseste klar klarste
böse böseste steil steilste
böse böseste ruhig ruhigste
böse böseste dunkel dunkelste
böse böseste gesund gesündeste
deutlich deutlichste alt älteste
deutlich deutlichste gefährlich gefährlichste
deutlich deutlichste sonnig sonnigste
deutlich deutlichste langsam langsamste
deutlich deutlichste traurig traurigste
dick dickste persönlich persönlichste
dick dickste deutlich deutlichste
dick dickste giftig giftigste
dick dickste einfach einfachste
dick dickste wichtig wichtigste
dreckig dreckigste dunkel dunkelste
dreckig dreckigste krumm krümmste
dreckig dreckigste freundlich freundlichste
dreckig dreckigste frisch frischste
dreckig dreckigste ähnlich ähnlichste
dumm dümmste arm ärmste
dumm dümmste dunkel dunkelste
dumm dümmste elegant eleganteste
dumm dümmste einsam einsamste
dumm dümmste stark stärkste
dunkel dunkelste hoch höchste
dunkel dunkelste dreckig dreckigste
dunkel dunkelste still stillste
dunkel dunkelste lieb liebste
dunkel dunkelste mutig mutigste
dünn dünnste voll vollste
dünn dünnste faul faulste
dünn dünnste sauber sauberste
dünn dünnste richtig richtigste
dünn dünnste bestimmt bestimmteste
eckig eckigste nett netteste
eckig eckigste sicher sicherste
eckig eckigste früh frühste
eckig eckigste schädlich schädlichste
eckig eckigste schwierig schwierigste
einfach einfachste hart härteste
einfach einfachste wenig wenigste
einfach einfachste nahe nächste
einfach einfachste wenig wenigste
einfach einfachste klar klarste
einsam einsamste warm wärmste
einsam einsamste gerade geradeste
einsam einsamste rund rundeste
einsam einsamste sicher sicherste
einsam einsamste offen offenste
elegant eleganteste wahrscheinlich wahrscheinlichste
elegant eleganteste wild wildeste
elegant eleganteste böse böseste
elegant eleganteste groß größte
elegant eleganteste faul faulste
eng engste scharf schärfste
eng engste wenig wenigste
eng engste sonnig sonnigste
eng engste dünn dünnste
eng engste hoch höchste
faul faulste bekannt bekannteste
faul faulste wahrscheinlich wahrscheinlichste
faul faulste lieb liebste
faul faulste dreckig dreckigste
faul faulste bekannt bekannteste
fleißig fleißigste ruhig ruhigste
fleißig fleißigste dumm dümmste
fleißig fleißigste groß größte
fleißig fleißigste dünn dünnste
fleißig fleißigste hart härteste
freundlich freundlichste gesund gesündeste
freundlich freundlichste gerade geradeste
freundlich freundlichste einfach einfachste
freundlich freundlichste nahe nächste
freundlich freundlichste eckig eckigste
frisch frischste gut beste
frisch frischste schwer schwerste
frisch frischste dünn dünnste
frisch frischste glatt glätteste
frisch frischste wild wildeste
fröhlich fröhlichste klar klarste
fröhlich fröhlichste warm wärmste
fröhlich fröhlichste stark stärkste
fröhlich fröhlichste weich weichste
fröhlich fröhlichste dick dickste
früh frühste warm wärmste
früh frühste klein kleinste
früh frühste frisch frischste
früh frühste spannend spannendste
früh frühste ähnlich ähnlichste
gefährlich gefährlichste schrecklich schrecklichste
gefährlich gefährlichste trocken trockenste
gefährlich gefährlichste einfach einfachste
gefährlich gefährlichste ähnlich ähnlichste
gefährlich gefährlichste glatt glätteste
genau genauste scharf schärfste
genau genauste einfach einfachste
genau genauste früh frühste
genau genauste still stillste
genau genauste spät späteste
gerade geradeste persönlich persönlichste
gerade geradeste schlecht schlechteste
gerade geradeste hart härteste
gerade geradeste offen offenste
gerade geradeste bekannt bekannteste
gering geringste traurig traurigste
gering geringste schwer schwerste
gering geringste gut beste
gering geringste schmal schmalste
gering geringste nett netteste
gesund gesündeste schrecklich schrecklichste
gesund gesündeste genau genauste
gesund gesündeste unterschiedlich unterschiedlichste
gesund gesündeste schmutzig schmutzigste
gesund gesündeste riesig riesigste
giftig giftigste lang längste
giftig giftigste sonnig sonnigste
giftig giftigste wichtig wichtigste
giftig giftigste trocken trockenste
giftig giftigste bekannt bekannteste
glatt glätteste verschieden verschiedenste
glatt glätteste trocken trockenste
glatt glätteste eckig eckigste
glatt glätteste riesig riesigste
glatt glätteste gering geringste
glücklich glücklichste klein kleinste
glücklich glücklichste leicht leichteste
glücklich glücklichste leicht leichteste
glücklich glücklichste glatt glätteste
glücklich glücklichste wertvoll wertvollste
groß größte frisch frischste
groß größte lecker leckerste
groß größte leise leiseste
groß größte traurig traurigste
groß größte natürlich natürlichste
gut beste scharf schärfste
gut beste billig billigste
gut beste schnell schnellste
gut beste spitz spitzeste
gut beste einsam einsamste
hart härteste ruhig ruhigste
hart härteste offen offenste
hart härteste frisch frischste
hart härteste frisch frischste
hart härteste mutig mutigste
hoch höchste oft öfteste
hoch höchste schwer schwerste
hoch höchste gering geringste
hoch höchste frisch frischste
hoch höchste kurz kürzeste
häufig häufigste scharf schärfste
häufig häufigste schön schönste
häufig häufigste oft öfteste
häufig häufigste spitz spitzeste
häufig häufigste unterschiedlich unterschiedlichste
jung jüngste wenig wenigste
jung jüngste nett netteste
jung jüngste tief tiefste
jung jüngste schnell schnellste
jung jüngste dick dickste
kalt kälteste leicht leichteste
kalt kälteste glücklich glücklichste
kalt kälteste natürlich natürlichste
kalt kälteste voll vollste
kalt kälteste sicher sicherste
klar klarste mutig mutigste
klar klarste schlecht schlechteste
klar klarste leise leiseste
klar klarste gefährlich gefährlichste
klar klarste ruhig ruhigste
klein kleinste glücklich glücklichste
klein kleinste bestimmt bestimmteste
klein kleinste böse böseste
klein kleinste wichtig wichtigste
klein kleinste nett netteste
krumm krümmste persönlich persönlichste
krumm krümmste kurz kürzeste
krumm krümmste einfach einfachste
krumm krümmste offen offenste
krumm krümmste leise leiseste
kurz kürzeste nahe nächste
kurz kürzeste wild wildeste
kurz kürzeste klar klarste
kurz kürzeste nahe nächste
kurz kürzeste weich weichste
lang längste schrecklich schrecklichste
lang längste lieb liebste
lang längste kalt kälteste
lang längste schmal schmalste
lang längste fröhlich fröhlichste
langsam langsamste faul faulste
langsam langsamste jung jüngste
langsam langsamste böse böseste
langsam langsamste einfach einfachste
langsam langsamste warm wärmste
laut lauteste schmal schmalste
laut lauteste natürlich natürlichste
laut lauteste traurig traurigste
laut lauteste dreckig dreckigste
laut lauteste leise leiseste
lecker leckerste unterschiedlich unterschiedlichste
lecker leckerste giftig giftigste
lecker leckerste wild wildeste
lecker leckerste genau genauste
lecker leckerste glücklich glücklichste
leicht leichteste klein kleinste
leicht leichteste hart härteste
leicht leichteste still stillste
leicht leichteste glücklich glücklichste
leicht leichteste gut beste
leise leiseste dünn dünnste
leise leiseste alt älteste
leise leiseste spannend spannendste
leise leiseste eng engste
leise leiseste lieb liebste
lieb liebste nett netteste
lieb liebste lustig lustigste
lieb liebste schnell schnellste
lieb liebste offen offenste
lieb liebste praktisch praktischste
lustig lustigste schädlich schädlichste
lustig lustigste klein kleinste
lustig lustigste klar klarste
lustig lustigste warm wärmste
lustig lustigste gering geringste
mutig mutigste schlecht schlechteste
mutig mutigste böse böseste
mutig mutigste schön schönste
mutig mutigste dick dickste
mutig mutigste jung jüngste
müde müdeste riesig riesigste
müde müdeste einfach einfachste
müde müdeste kurz kürzeste
müde müdeste stark stärkste
müde müdeste bestimmt bestimmteste
nahe nächste bekannt bekannteste
nahe nächste schrecklich schrecklichste
nahe nächste kalt kälteste
nahe nächste steil steilste
nahe nächste dumm dümmste
natürlich natürlichste still stillste
natürlich natürlichste fröhlich fröhlichste
natürlich natürlichste freundlich freundlichste
natürlich natürlichste steil steilste
natürlich natürlichste schlecht schlechteste
nett netteste dick dickste
nett netteste giftig giftigste
nett netteste groß größte
nett netteste nahe nächste
nett netteste tief tiefste
neu neuste offen offenste
neu neuste deutlich deutlichste
neu neuste groß größte
neu neuste oft öfteste
neu neuste frisch frischste
offen offenste deutlich deutlichste
offen offenste verschieden verschiedenste
offen offenste schlank schlankeste
offen offenste still stillste
offen offenste tief tiefste
oft öfteste schlank schlankeste
oft öfteste langsam langsamste
oft öfteste krumm krümmste
oft öfteste sonnig sonnigste
oft öfteste billig billigste
persönlich persönlichste wild wildeste
persönlich persönlichste deutlich deutlichste
persönlich persönlichste gefährlich gefährlichste
persönlich persönlichste leise leiseste
persönlich persönlichste frisch frischste
praktisch praktischste dreckig dreckigste
praktisch praktischste billig billigste
praktisch praktischste arm ärmste
praktisch praktischste frisch frischste
praktisch praktischste dreckig dreckigste
richtig richtigste stark stärkste
richtig richtigste hart härteste
richtig richtigste böse böseste
richtig richtigste persönlich persönlichste
richtig richtigste stark stärkste
riesig riesigste dick dickste
riesig riesigste spannend spannendste
riesig riesigste rund rundeste
riesig riesigste sonnig sonnigste
riesig riesigste laut lauteste
ruhig ruhigste schwierig schwierigste
ruhig ruhigste schwach schwächste
ruhig ruhigste gefährlich gefährlichste
ruhig ruhigste arm ärmste
ruhig ruhigste gesund gesündeste
rund rundeste schlecht schlechteste
rund rundeste ruhig ruhigste
rund rundeste wichtig wichtigste
rund rundeste glatt glätteste
rund rundeste dreckig dreckigste
sauber sauberste spät späteste
sauber sauberste hoch höchste
sauber sauberste unterschiedlich unterschiedlichste
sauber sauberste wertvoll wertvollste
sauber sauberste eng engste
scharf schärfste nett netteste
scharf schärfste nahe nächste
scharf schärfste nahe nächste
scharf schärfste richtig richtigste
scharf schärfste riesig riesigste
schlank schlankeste schmutzig schmutzigste
schlank schlankeste langsam langsamste
schlank schlankeste einsam einsamste
schlank schlankeste faul faulste
schlank schlankeste lustig lustigste
schlecht schlechteste glücklich glücklichste
schlecht schlechteste stark stärkste
schlecht schlechteste gut beste
schlecht schlechteste bekannt bekannteste
schlecht schlechteste schrecklich schrecklichste
schmal schmalste wild wildeste
schmal schmalste oft öfteste
schmal schmalste wichtig wichtigste
schmal schmalste alt älteste
schmal schmalste häufig häufigste
schmutzig schmutzigste eckig eckigste
schmutzig schmutzigste gefährlich gefährlichste
schmutzig schmutzigste rund rundeste
schmutzig schmutzigste trocken trockenste
schmutzig schmutzigste faul faulste
schnell schnellste wertvoll wertvollste
schnell schnellste klein kleinste
schnell schnellste gesund gesündeste
schnell schnellste eckig eckigste
schnell schnellste genau genauste
schrecklich schrecklichste gerade geradeste
schrecklich schrecklichste gesund gesündeste
schrecklich schrecklichste neu neuste
schrecklich schrecklichste persönlich persönlichste
schrecklich schrecklichste hoch höchste
schwach schwächste einsam einsamste
schwach schwächste neu neuste
schwach schwächste neu neuste
schwach schwächste giftig giftigste
schwach schwächste oft öfteste
schwer schwerste dumm dümmste
schwer schwerste dünn dünnste
schwer schwerste dick dickste
schwer schwerste voll vollste
schwer schwerste schrecklich schrecklichste
schwierig schwierigste weich weichste
schwierig schwierigste leise leiseste
schwierig schwierigste arm ärmste
schwierig schwierigste richtig richtigste
schwierig schwierigste wahrscheinlich wahrscheinlichste
schädlich schädlichste dünn dünnste
schädlich schädlichste mutig mutigste
schädlich schädlichste sonnig sonnigste
schädlich schädlichste dreckig dreckigste
schädlich schädlichste gefährlich gefährlichste
schön schönste dunkel dunkelste
schön schönste offen offenste
schön schönste offen offenste
schön schönste kalt kälteste
schön schönste hart härteste
sicher sicherste fröhlich fröhlichste
sicher sicherste verschieden verschiedenste
sicher sicherste schwach schwächste
sicher sicherste neu neuste
sicher sicherste schmal schmalste
sonnig sonnigste elegant eleganteste
sonnig sonnigste glatt glätteste
sonnig sonnigste gut beste
sonnig sonnigste deutlich deutlichste
sonnig sonnigste gerade geradeste
spannend spannendste krumm krümmste
spannend spannendste nahe nächste
spannend spannendste schlecht schlechteste
spannend spannendste krumm krümmste
spannend spannendste faul faulste
spitz spitzeste eckig eckigste
spitz spitzeste weich weichste
spitz spitzeste rund rundeste
spitz spitzeste dunkel dunkelste
spitz spitzeste nahe nächste
spät späteste lustig lustigste
spät späteste leise leiseste
spät späteste schmutzig schmutzigste
spät späteste frisch frischste
spät späteste einfach einfachste
stark stärkste schlank schlankeste
stark stärkste eckig eckigste
stark stärkste billig billigste
stark stärkste einfach einfachste
stark stärkste müde müdeste
steil steilste dick dickste
steil steilste sauber sauberste
steil steilste groß größte
steil steilste krumm krümmste
steil steilste schwach schwächste
still stillste dunkel dunkelste
still stillste nahe nächste
still stillste trocken trockenste
still stillste schön schönste
still stillste schnell schnellste
tief tiefste krumm krümmste
tief tiefste groß größte
tief tiefste ähnlich ähnlichste
tief tiefste rund rundeste
tief tiefste richtig richtigste
traurig traurigste offen offenste
traurig traurigste frisch frischste
traurig traurigste giftig giftigste
traurig traurigste groß größte
traurig traurigste dumm dümmste
trocken trockenste gerade geradeste
trocken trockenste häufig häufigste
trocken trockenste scharf schärfste
trocken trockenste bekannt bekannteste
trocken trockenste arm ärmste
unterschiedlich unterschiedlichste müde müdeste
unterschiedlich unterschiedlichste offen offenste
unterschiedlich unterschiedlichste tief tiefste
unterschiedlich unterschiedlichste faul faulste
unterschiedlich unterschiedlichste fröhlich fröhlichste
verschieden verschiedenste natürlich natürlichste
verschieden verschiedenste dreckig dreckigste
verschieden verschiedenste leise leiseste
verschieden verschiedenste alt älteste
verschieden verschiedenste voll vollste
voll vollste billig billigste
voll vollste weich weichste
voll vollste neu neuste
voll vollste ruhig ruhigste
voll vollste einfach einfachste
wahrscheinlich wahrscheinlichste lecker leckerste
wahrscheinlich wahrscheinlichste rund rundeste
wahrscheinlich wahrscheinlichste schrecklich schrecklichste
wahrscheinlich wahrscheinlichste freundlich freundlichste
wahrscheinlich wahrscheinlichste persönlich persönlichste
warm wärmste neu neuste
warm wärmste gerade geradeste
warm wärmste oft öfteste
warm wärmste leicht leichteste
warm wärmste laut lauteste
weich weichste genau genauste
weich weichste früh frühste
weich weichste eckig eckigste
weich weichste kurz kürzeste
weich weichste spitz spitzeste
weit weiteste dreckig dreckigste
weit weiteste dreckig dreckigste
weit weiteste oft öfteste
weit weiteste dumm dümmste
weit weiteste schlank schlankeste
wenig wenigste schön schönste
wenig wenigste klar klarste
wenig wenigste traurig traurigste
wenig wenigste gesund gesündeste
wenig wenigste fröhlich fröhlichste
wertvoll wertvollste einfach einfachste
wertvoll wertvollste frisch frischste
wertvoll wertvollste gering geringste
wertvoll wertvollste elegant eleganteste
wertvoll wertvollste lang längste
wichtig wichtigste schrecklich schrecklichste
wichtig wichtigste riesig riesigste
wichtig wichtigste scharf schärfste
wichtig wichtigste voll vollste
wichtig wichtigste schwach schwächste
wild wildeste genau genauste
wild wildeste still stillste
wild wildeste bestimmt bestimmteste
wild wildeste hart härteste
wild wildeste stark stärkste
: Adjektive: SUP/GR
ähnlichste ähnlich gesündeste gesund
ähnlichste ähnlich langsamste langsam
ähnlichste ähnlich natürlichste natürlich
ähnlichste ähnlich sicherste sicher
ähnlichste ähnlich traurigste traurig
älteste alt schädlichste schädlich
älteste alt kürzeste kurz
älteste alt kälteste kalt
älteste alt wenigste wenig
älteste alt wichtigste wichtig
ärmste arm schönste schön
ärmste arm längste lang
ärmste arm schlechteste schlecht
ärmste arm billigste billig
ärmste arm schlankeste schlank
bekannteste bekannt ruhigste ruhig
bekannteste bekannt schmutzigste schmutzig
bekannteste bekannt geradeste gerade
bekannteste bekannt glücklichste glücklich
bekannteste bekannt schwierigste schwierig
bestimmteste bestimmt schwerste schwer
bestimmteste bestimmt weiteste weit
bestimmteste bestimmt wertvollste wertvoll
bestimmteste bestimmt schwerste schwer
bestimmteste bestimmt schwerste schwer
billigste billig kleinste klein
billigste billig dickste dick
billigste billig größte groß
billigste billig faulste faul
billigste billig offenste offen
böseste böse ruhigste ruhig
böseste böse glücklichste glücklich
böseste böse längste lang
böseste böse geringste gering
böseste böse riesigste riesig
deutlichste deutlich giftigste giftig
deutlichste deutlich unterschiedlichste unterschiedlich
deutlichste deutlich neuste neu
deutlichste deutlich engste eng
deutlichste deutlich trockenste trocken
dickste dick eleganteste elegant
dickste dick höchste hoch
dickste dick genauste genau
dickste dick krümmste krumm
dickste dick schwächste schwach
dreckigste dreckig stillste still
dreckigste dreckig weichste weich
dreckigste dreckig mutigste mutig
dreckigste dreckig wichtigste wichtig
dreckigste dreckig dickste dick
dümmste dumm schönste schön
dümmste dumm bekannteste bekannt
dümmste dumm schwerste schwer
dümmste dumm lustigste lustig
dümmste dumm krümmste krumm
dunkelste dunkel schwächste schwach
dunkelste dunkel eleganteste elegant
dunkelste dunkel gefährlichste gefährlich
dunkelste dunkel größte groß
dunkelste dunkel leiseste leise
dünnste dünn leichteste leicht
dünnste dünn spitzeste spitz
dünnste dünn mutigste mutig
dünnste dünn wichtigste wichtig
dünnste dünn wahrscheinlichste wahrscheinlich
eckigste eckig schwierigste schwierig
eckigste eckig schrecklichste schrecklich
eckigste eckig traurigste traurig
eckigste eckig langsamste langsam
eckigste eckig natürlichste natürlich
einfachste einfach leiseste leise
einfachste einfach beste gut
einfachste einfach verschiedenste verschieden
einfachste einfach ärmste arm
einfachste einfach ruhigste ruhig
einsamste einsam giftigste giftig
einsamste einsam engste eng
einsamste einsam schlankeste schlank
einsamste einsam mutigste mutig
einsamste einsam leiseste leise
eleganteste elegant riesigste riesig
eleganteste elegant netteste nett
eleganteste elegant ähnlichste ähnlich
eleganteste elegant weiteste weit
eleganteste elegant jüngste jung
engste eng wertvollste wertvoll
engste eng natürlichste natürlich
engste eng fröhlichste fröhlich
engste eng leichteste leicht
engste eng schmutzigste schmutzig
faulste faul kürzeste kurz
faulste faul nächste nahe
faulste faul engste eng
faulste faul fröhlichste fröhlich
faulste faul schnellste schnell
fleißigste fleißig geradeste gerade
fleißigste fleißig spannendste spannend
fleißigste fleißig schmalste schmal
fleißigste fleißig müdeste müde
fleißigste fleißig häufigste häufig
freundlichste freundlich schwierigste schwierig
freundlichste freundlich mutigste mutig
freundlichste freundlich höchste hoch
freundlichste freundlich böseste böse
freundlichste freundlich bekannteste bekannt
frischste frisch tiefste tief
frischste frisch mutigste mutig
frischste frisch krümmste krumm
frischste frisch beste gut
frischste frisch riesigste riesig
fröhlichste fröhlich gefährlichste gefährlich
fröhlichste fröhlich freundlichste freundlich
fröhlichste fröhlich gefährlichste gefährlich
fröhlichste fröhlich einfachste einfach
fröhlichste fröhlich härteste hart
frühste früh weiteste weit
frühste früh ruhigste ruhig
frühste früh offenste offen
frühste früh größte groß
frühste früh dunkelste dunkel
gefährlichste gefährlich längste lang
gefährlichste gefährlich geradeste gerade
gefährlichste gefährlich fröhlichste fröhlich
gefährlichste gefährlich eckigste eckig
gefährlichste gefährlich leckerste lecker
genauste genau steilste steil
genauste genau ähnlichste ähnlich
genauste genau älteste alt
genauste genau frühste früh
genauste genau schmalste schmal
geradeste gerade häufigste häufig
geradeste gerade nächste nahe
geradeste gerade giftigste giftig
geradeste gerade leckerste lecker
geradeste gerade klarste klar
geringste gering einfachste einfach
geringste gering netteste nett
geringste gering glätteste glatt
geringste gering härteste hart
geringste gering gefährlichste gefährlich
gesündeste gesund steilste steil
gesündeste gesund längste lang
gesündeste gesund häufigste häufig
gesündeste gesund genauste genau
gesündeste gesund schwierigste schwierig
giftigste giftig klarste klar
giftigste giftig fröhlichste fröhlich
giftigste giftig öfteste oft
giftigste giftig wildeste wild
giftigste giftig sauberste sauber
glätteste glatt vollste voll
glätteste glatt ruhigste ruhig
glätteste glatt dickste dick
glätteste glatt weichste weich
glätteste glatt einfachste einfach
glücklichste glücklich ähnlichste ähnlich
glücklichste glücklich klarste klar
glücklichste glücklich wärmste warm
glücklichste glücklich spannendste spannend
glücklichste glücklich klarste klar
größte groß freundlichste freundlich
größte groß engste eng
größte groß schrecklichste schrecklich
größte groß spitzeste spitz
größte groß jüngste jung
beste gut jüngste jung
beste gut gefährlichste gefährlich
beste gut gefährlichste gefährlich
beste gut dreckigste dreckig
beste gut billigste billig
härteste hart traurigste traurig
härteste hart schlankeste schlank
härteste hart beste gut
härteste hart genauste genau
härteste hart ruhigste ruhig
höchste hoch unterschiedlichste unterschiedlich
höchste hoch genauste genau
höchste hoch tiefste tief
höchste hoch kleinste klein
höchste hoch dreckigste dreckig
häufigste häufig lauteste laut
häufigste häufig beste gut
häufigste häufig frühste früh
häufigste häufig böseste böse
häufigste häufig öfteste oft
jüngste jung lustigste lustig
jüngste jung deutlichste deutlich
jüngste jung einsamste einsam
jüngste jung lustigste lustig
jüngste jung härteste hart
kälteste kalt frischste frisch
kälteste kalt dickste dick
kälteste kalt spitzeste spitz
kälteste kalt giftigste giftig
kälteste kalt fleißigste fleißig
klarste klar bekannteste bekannt
klarste klar einfachste einfach
klarste klar ruhigste ruhig
klarste klar schönste schön
klarste klar mutigste mutig
kleinste klein weiteste weit
kleinste klein krümmste krumm
kleinste klein natürlichste natürlich
kleinste klein spannendste spannend
kleinste klein schnellste schnell
krümmste krumm böseste böse
krümmste krumm liebste lieb
krümmste krumm sonnigste sonnig
krümmste krumm größte groß
krümmste krumm langsamste langsam
kürzeste kurz bekannteste bekannt
kürzeste kurz neuste neu
kürzeste kurz richtigste richtig
kürzeste kurz dickste dick
kürzeste kurz gesündeste gesund
längste lang engste eng
längste lang freundlichste freundlich
längste lang genauste genau
längste lang einfachste einfach
längste lang schrecklichste schrecklich
langsamste langsam engste eng
langsamste langsam gefährlichste gefährlich
langsamste langsam wärmste warm
langsamste langsam gesündeste gesund
langsamste langsam schönste schön
lauteste laut stärkste stark
lauteste laut glätteste glatt
lauteste laut frühste früh
lauteste laut geringste gering
lauteste laut schmalste schmal
leckerste lecker fröhlichste fröhlich
leckerste lecker beste gut
leckerste lecker klarste klar
leckerste lecker nächste nahe
leckerste lecker netteste nett
leichteste leicht geradeste gerade
leichteste leicht gefährlichste gefährlich
leichteste leicht tiefste tief
leichteste leicht fleißigste fleißig
leichteste leicht praktischste praktisch
leiseste leise natürlichste natürlich
leiseste leise traurigste traurig
leiseste leise fleißigste fleißig
leiseste leise trockenste trocken
leiseste leise häufigste häufig
liebste lieb weichste weich
liebste lieb kälteste kalt
liebste lieb glätteste glatt
liebste lieb fleißigste fleißig
liebste lieb wahrscheinlichste wahrscheinlich
lustigste lustig verschiedenste verschieden
lustigste lustig vollste voll
lustigste lustig schrecklichste schrecklich
lustigste lustig ruhigste ruhig
lustigste lustig älteste alt
mutigste mutig leichteste leicht
mutigste mutig wichtigste wichtig
mutigste mutig älteste alt
mutigste mutig spannendste spannend
mutigste mutig fleißigste fleißig
müdeste müde steilste steil
müdeste müde neuste neu
müdeste müde dünnste dünn
müdeste müde lustigste lustig
müdeste müde größte groß
nächste nahe dümmste dumm
nächste nahe einsamste einsam
nächste nahe verschiedenste verschieden
nächste nahe geradeste gerade
nächste nahe einsamste einsam
natürlichste natürlich lauteste laut
natürlichste natürlich längste lang
natürlichste natürlich schwerste schwer
natürlichste natürlich gefährlichste gefährlich
natürlichste natürlich dümmste dumm
netteste nett älteste alt
netteste nett schlankeste schlank
netteste nett genauste genau
netteste nett schlechteste schlecht
netteste nett älteste alt
neuste neu schlankeste schlank
neuste neu klarste klar
neuste neu wertvollste wertvoll
neuste neu schwächste schwach
neuste neu kälteste kalt
offenste offen freundlichste freundlich
offenste offen leckerste lecker
offenste offen schmalste schmal
offenste offen engste eng
offenste offen netteste nett
öfteste oft glücklichste glücklich
öfteste oft böseste böse
öfteste oft ähnlichste ähnlich
öfteste oft ruhigste ruhig
öfteste oft krümmste krumm
persönlichste persönlich weichste weich
persönlichste persönlich frischste frisch
persönlichste persönlich schmutzigste schmutzig
persönlichste persönlich geradeste gerade
persönlichste persönlich jüngste jung
praktischste praktisch ruhigste ruhig
praktischste praktisch bestimmteste bestimmt
praktischste praktisch eleganteste elegant
praktischste praktisch gefährlichste gefährlich
praktischste praktisch kleinste klein
richtigste richtig engste eng
richtigste richtig freundlichste freundlich
richtigste richtig bekannteste bekannt
richtigste richtig dümmste dumm
richtigste richtig geringste gering
riesigste riesig dickste dick
riesigste riesig lauteste laut
riesigste riesig leiseste leise
riesigste riesig giftigste giftig
riesigste riesig wahrscheinlichste wahrscheinlich
ruhigste ruhig neuste neu
ruhigste ruhig dümmste dumm
ruhigste ruhig höchste hoch
ruhigste ruhig natürlichste natürlich
ruhigste ruhig ärmste arm
rundeste rund glätteste glatt
rundeste rund verschiedenste verschieden
rundeste rund wildeste wild
rundeste rund größte groß
rundeste rund dümmste dumm
sauberste sauber rundeste rund
sauberste sauber krümmste krumm
sauberste sauber leichteste leicht
sauberste sauber jüngste jung
sauberste sauber sonnigste sonnig
schärfste scharf neuste neu
schärfste scharf härteste hart
schärfste scharf kürzeste kurz
schärfste scharf fröhlichste fröhlich
schärfste scharf bekannteste bekannt
schlankeste schlank schwerste schwer
schlankeste schlank schwächste schwach
schlankeste schlank wertvollste wertvoll
schlankeste schlank rundeste rund
schlankeste schlank schmalste schmal
schlechteste schlecht engste eng
schlechteste schlecht ärmste arm
schlechteste schlecht billigste billig
schlechteste schlecht leichteste leicht
schlechteste schlecht jüngste jung
schmalste schmal schönste schön
schmalste schmal netteste nett
schmalste schmal riesigste riesig
schmalste schmal sonnigste sonnig
schmalste schmal frischste frisch
schmutzigste schmutzig jüngste jung
schmutzigste schmutzig gesündeste gesund
schmutzigste schmutzig geradeste gerade
schmutzigste schmutzig wildeste wild
schmutzigste schmutzig höchste hoch
schnellste schnell spannendste spannend
schnellste schnell älteste alt
schnellste schnell fleißigste fleißig
schnellste schnell wahrscheinlichste wahrscheinlich
schnellste schnell wildeste wild
schrecklichste schrecklich späteste spät
schrecklichste schrecklich rundeste rund
schrecklichste schrecklich steilste steil
schrecklichste schrecklich mutigste mutig
schrecklichste schrecklich einsamste einsam
schwächste schwach wertvollste wertvoll
schwächste schwach sicherste sicher
schwächste schwach beste gut
schwächste schwach jüngste jung
schwächste schwach schönste schön
schwerste schwer krümmste krumm
schwerste schwer traurigste traurig
schwerste schwer steilste steil
schwerste schwer schnellste schnell
schwerste schwer glätteste glatt
schwierigste schwierig fröhlichste fröhlich
schwierigste schwierig sonnigste sonnig
schwierigste schwierig wertvollste wertvoll
schwierigste schwierig einsamste einsam
schwierigste schwierig lauteste laut
schädlichste schädlich weiteste weit
schädlichste schädlich älteste alt
schädlichste schädlich einfachste einfach
schädlichste schädlich leichteste leicht
schädlichste schädlich trockenste trocken
schönste schön klarste klar
schönste schön wärmste warm
schönste schön glücklichste glücklich
