: Nomen: SI/PL
still stillste dünn dünnste
still stillste hart härteste
tief tiefste wild wildeste
tief tiefste eng engste
tief tiefste mutig mutigste
tief tiefste sauber sauberste
tief tiefste sonnig sonnigste
traurig traurigste wichtig wichtigste
traurig traurigste schrecklich schrecklichste
traurig traurigste oft öfteste
traurig traurigste dick dickste
traurig traurigste bestimmt bestimmteste
trocken trockenste freundlich freundlichste
trocken trockenste hart härteste
trocken trockenste lustig lustigste
trocken trockenste gesund gesündeste
trocken trockenste spitz spitzeste
unterschiedlich unterschiedlichste schmal schmalste
unterschiedlich unterschiedlichste giftig giftigste
unterschiedlich unterschiedlichste spitz spitzeste
unterschiedlich unterschiedlichste dunkel dunkelste
unterschiedlich unterschiedlichste schön schönste
verschieden verschiedenste warm wärmste
verschieden verschiedenste fleißig fleißigste
verschieden verschiedenste schwierig schwierigste
verschieden verschiedenste häufig häufigste
verschieden verschiedenste steil steilste
voll vollste nahe nächste
voll vollste dreckig dreckigste
voll vollste eng engste
voll vollste gerade geradeste
voll vollste alt älteste
wahrscheinlich wahrscheinlichste gerade geradeste
wahrscheinlich wahrscheinlichste glücklich glücklichste
wahrscheinlich wahrscheinlichste sauber sauberste
wahrscheinlich wahrscheinlichste neu neuste
wahrscheinlich wahrscheinlichste riesig riesigste
warm wärmste neu neuste
warm wärmste elegant eleganteste
warm wärmste hoch höchste
warm wärmste scharf schärfste
warm wärmste stark stärkste
weich weichste kalt kälteste
weich weichste rund rundeste
weich weichste klein kleinste
weich weichste einsam einsamste
weich weichste genau genauste
weit weiteste lieb liebste
weit weiteste schwierig schwierigste
weit weiteste groß größte
weit weiteste mutig mutigste
weit weiteste arm ärmste
wenig wenigste kurz kürzeste
wenig wenigste früh frühste
wenig wenigste ruhig ruhigste
wenig wenigste spitz spitzeste
wenig wenigste spät späteste
wertvoll wertvollste gut beste
wertvoll wertvollste schön schönste
wertvoll wertvollste bestimmt bestimmteste
wertvoll wertvollste klar klarste
wertvoll wertvollste riesig riesigste
wichtig wichtigste einfach einfachste
wichtig wichtigste langsam langsamste
wichtig wichtigste genau genauste
wichtig wichtigste früh frühste
wichtig wichtigste still stillste
wild wildeste schädlich schädlichste
wild wildeste schlecht schlechteste
wild wildeste kurz kürzeste
wild wildeste einfach einfachste
wild wildeste lang längste
: Adjektive: SUP/GR
ähnlichste ähnlich schmutzigste schmutzig
ähnlichste ähnlich eleganteste elegant
ähnlichste ähnlich langsamste langsam
ähnlichste ähnlich dünnste dünn
ähnlichste ähnlich schmutzigste schmutzig
älteste alt dickste dick
älteste alt kälteste kalt
älteste alt wichtigste wichtig
älteste alt deutlichste deutlich
älteste alt genauste genau
ärmste arm leichteste leicht
ärmste arm sicherste sicher
ärmste arm lustigste lustig
ärmste arm längste lang
ärmste arm wichtigste wichtig
bekannteste bekannt fröhlichste fröhlich
bekannteste bekannt schmutzigste schmutzig
bekannteste bekannt schlankeste schlank
bekannteste bekannt spannendste spannend
bekannteste bekannt krümmste krumm
bestimmteste bestimmt dunkelste dunkel
bestimmteste bestimmt gesündeste gesund
bestimmteste bestimmt schlankeste schlank
bestimmteste bestimmt ruhigste ruhig
bestimmteste bestimmt höchste hoch
billigste billig praktischste praktisch
billigste billig eleganteste elegant
billigste billig wichtigste wichtig
billigste billig persönlichste persönlich
billigste billig geradeste gerade
böseste böse verschiedenste verschieden
böseste böse schmutzigste schmutzig
böseste böse späteste spät
böseste böse praktischste praktisch
böseste böse bekannteste bekannt
deutlichste deutlich ähnlichste ähnlich
deutlichste deutlich schnellste schnell
deutlichste deutlich offenste offen
deutlichste deutlich beste gut
deutlichste deutlich beste gut
dickste dick glücklichste glücklich
dickste dick kleinste klein
dickste dick lauteste laut
dickste dick wichtigste wichtig
dickste dick krümmste krumm
dreckigste dreckig offenste offen
dreckigste dreckig wildeste wild
dreckigste dreckig wichtigste wichtig
dreckigste dreckig sicherste sicher
dreckigste dreckig fleißigste fleißig
dümmste dumm deutlichste deutlich
dümmste dumm geradeste gerade
dümmste dumm trockenste trocken
dümmste dumm natürlichste natürlich
dümmste dumm sauberste sauber
dunkelste dunkel dünnste dünn
dunkelste dunkel wertvollste wertvoll
dunkelste dunkel glücklichste glücklich
dunkelste dunkel wertvollste wertvoll
dunkelste dunkel längste lang
dünnste dünn wärmste warm
dünnste dünn geradeste gerade
dünnste dünn längste lang
dünnste dünn fleißigste fleißig
dünnste dünn beste gut
eckigste eckig trockenste trocken
eckigste eckig wärmste warm
eckigste eckig wertvollste wertvoll
eckigste eckig dickste dick
eckigste eckig schmutzigste schmutzig
einfachste einfach fleißigste fleißig
einfachste einfach nächste nahe
einfachste einfach richtigste richtig
einfachste einfach leiseste leise
einfachste einfach schwerste schwer
einsamste einsam dünnste dünn
einsamste einsam glücklichste glücklich
einsamste einsam genauste genau
einsamste einsam schmalste schmal
einsamste einsam ärmste arm
eleganteste elegant sonnigste sonnig
eleganteste elegant schmalste schmal
eleganteste elegant schlankeste schlank
eleganteste elegant tiefste tief
eleganteste elegant nächste nahe
engste eng schlankeste schlank
engste eng spannendste spannend
engste eng riesigste riesig
engste eng glücklichste glücklich
engste eng schädlichste schädlich
faulste faul frühste früh
faulste faul tiefste tief
faulste faul sicherste sicher
faulste faul fleißigste fleißig
faulste faul gesündeste gesund
fleißigste fleißig fröhlichste fröhlich
fleißigste fleißig späteste spät
fleißigste fleißig schlechteste schlecht
fleißigste fleißig praktischste praktisch
fleißigste fleißig kleinste klein
freundlichste freundlich schwierigste schwierig
freundlichste freundlich schlankeste schlank
freundlichste freundlich eleganteste elegant
freundlichste freundlich wärmste warm
freundlichste freundlich schädlichste schädlich
frischste frisch weiteste weit
frischste frisch riesigste riesig
frischste frisch steilste steil
frischste frisch frühste früh
frischste frisch ärmste arm
fröhlichste fröhlich giftigste giftig
fröhlichste fröhlich glätteste glatt
fröhlichste fröhlich öfteste oft
fröhlichste fröhlich böseste böse
fröhlichste fröhlich häufigste häufig
frühste früh netteste nett
frühste früh faulste faul
frühste früh wenigste wenig
frühste früh einsamste einsam
frühste früh geringste gering
gefährlichste gefährlich stärkste stark
gefährlichste gefährlich wertvollste wertvoll
gefährlichste gefährlich leckerste lecker
gefährlichste gefährlich eckigste eckig
gefährlichste gefährlich genauste genau
genauste genau sauberste sauber
genauste genau ähnlichste ähnlich
genauste genau kürzeste kurz
genauste genau billigste billig
genauste genau böseste böse
geradeste gerade giftigste giftig
geradeste gerade gesündeste gesund
geradeste gerade nächste nahe
geradeste gerade sicherste sicher
geradeste gerade steilste steil
geringste gering steilste steil
geringste gering schönste schön
geringste gering ruhigste ruhig
geringste gering schlechteste schlecht
geringste gering wertvollste wertvoll
gesündeste gesund leckerste lecker
gesündeste gesund steilste steil
gesündeste gesund gefährlichste gefährlich
gesündeste gesund fleißigste fleißig
gesündeste gesund frühste früh
giftigste giftig leichteste leicht
giftigste giftig freundlichste freundlich
giftigste giftig böseste böse
giftigste giftig ärmste arm
giftigste giftig schönste schön
glätteste glatt ähnlichste ähnlich
glätteste glatt trockenste trocken
glätteste glatt einsamste einsam
glätteste glatt nächste nahe
glätteste glatt lauteste laut
glücklichste glücklich dunkelste dunkel
glücklichste glücklich klarste klar
glücklichste glücklich rundeste rund
glücklichste glücklich freundlichste freundlich
glücklichste glücklich dümmste dumm
größte groß ärmste arm
größte groß mutigste mutig
größte groß schlechteste schlecht
größte groß genauste genau
größte groß geradeste gerade
beste gut höchste hoch
beste gut ärmste arm
beste gut älteste alt
beste gut spannendste spannend
beste gut fleißigste fleißig
härteste hart ärmste arm
härteste hart schönste schön
härteste hart traurigste traurig
härteste hart kälteste kalt
härteste hart schmalste schmal
höchste hoch weiteste weit
höchste hoch wenigste wenig
höchste hoch dünnste dünn
höchste hoch liebste lieb
höchste hoch dünnste dünn
häufigste häufig schlechteste schlecht
häufigste häufig schrecklichste schrecklich
häufigste häufig eckigste eckig
häufigste häufig schmutzigste schmutzig
häufigste häufig riesigste riesig
jüngste jung geringste gering
jüngste jung klarste klar
jüngste jung schlechteste schlecht
jüngste jung späteste spät
jüngste jung vollste voll
kälteste kalt schwächste schwach
kälteste kalt nächste nahe
kälteste kalt fröhlichste fröhlich
kälteste kalt gefährlichste gefährlich
kälteste kalt stillste still
klarste klar kürzeste kurz
klarste klar schrecklichste schrecklich
klarste klar dreckigste dreckig
klarste klar bekannteste bekannt
klarste klar sicherste sicher
kleinste klein dünnste dünn
kleinste klein glücklichste glücklich
kleinste klein müdeste müde
kleinste klein dunkelste dunkel
kleinste klein geradeste gerade
krümmste krumm wertvollste wertvoll
krümmste krumm wertvollste wertvoll
krümmste krumm rundeste rund
krümmste krumm wildeste wild
krümmste krumm faulste faul
kürzeste kurz netteste nett
kürzeste kurz frischste frisch
kürzeste kurz rundeste rund
kürzeste kurz jüngste jung
kürzeste kurz dünnste dünn
längste lang höchste hoch
längste lang unterschiedlichste unterschiedlich
längste lang größte groß
längste lang dickste dick
längste lang schlechteste schlecht
langsamste langsam wenigste wenig
langsamste langsam wahrscheinlichste wahrscheinlich
langsamste langsam schwächste schwach
langsamste langsam härteste hart
langsamste langsam frühste früh
lauteste laut frischste frisch
lauteste laut lustigste lustig
lauteste laut leckerste lecker
lauteste laut dunkelste dunkel
lauteste laut wertvollste wertvoll
leckerste lecker faulste faul
leckerste lecker beste gut
leckerste lecker richtigste richtig
leckerste lecker frühste früh
leckerste lecker frischste frisch
leichteste leicht geradeste gerade
leichteste leicht langsamste langsam
leichteste leicht größte groß
leichteste leicht persönlichste persönlich
leichteste leicht einsamste einsam
leiseste leise leckerste lecker
leiseste leise schnellste schnell
leiseste leise häufigste häufig
leiseste leise spitzeste spitz
leiseste leise frischste frisch
liebste lieb härteste hart
liebste lieb dickste dick
liebste lieb geradeste gerade
liebste lieb netteste nett
liebste lieb wenigste wenig
lustigste lustig billigste billig
lustigste lustig längste lang
lustigste lustig rundeste rund
lustigste lustig billigste billig
lustigste lustig glücklichste glücklich
mutigste mutig einsamste einsam
mutigste mutig geradeste gerade
mutigste mutig leiseste leise
mutigste mutig liebste lieb
mutigste mutig schwierigste schwierig
müdeste müde kleinste klein
müdeste müde schädlichste schädlich
müdeste müde trockenste trocken
müdeste müde böseste böse
müdeste müde engste eng
nächste nahe offenste offen
nächste nahe beste gut
nächste nahe leckerste lecker
nächste nahe beste gut
nächste nahe längste lang
natürlichste natürlich schädlichste schädlich
natürlichste natürlich glücklichste glücklich
natürlichste natürlich kleinste klein
natürlichste natürlich wenigste wenig
natürlichste natürlich frischste frisch
netteste nett vollste voll
netteste nett schärfste scharf
netteste nett weiteste weit
netteste nett geradeste gerade
netteste nett ruhigste ruhig
neuste neu bekannteste bekannt
neuste neu dünnste dünn
neuste neu spannendste spannend
neuste neu deutlichste deutlich
neuste neu verschiedenste verschieden
offenste offen neuste neu
offenste offen weiteste weit
offenste offen lauteste laut
offenste offen späteste spät
offenste offen schnellste schnell
öfteste oft kürzeste kurz
öfteste oft lauteste laut
öfteste oft rundeste rund
öfteste oft klarste klar
öfteste oft längste lang
persönlichste persönlich sauberste sauber
persönlichste persönlich geradeste gerade
persönlichste persönlich dünnste dünn
persönlichste persönlich müdeste müde
persönlichste persönlich riesigste riesig
praktischste praktisch einsamste einsam
praktischste praktisch gefährlichste gefährlich
praktischste praktisch liebste lieb
praktischste praktisch böseste böse
praktischste praktisch fleißigste fleißig
richtigste richtig trockenste trocken
richtigste richtig schärfste scharf
richtigste richtig beste gut
richtigste richtig geringste gering
richtigste richtig riesigste riesig
riesigste riesig glätteste glatt
riesigste riesig schmalste schmal
riesigste riesig kleinste klein
riesigste riesig wenigste wenig
riesigste riesig wenigste wenig
ruhigste ruhig spitzeste spitz
ruhigste ruhig persönlichste persönlich
ruhigste ruhig leiseste leise
ruhigste ruhig lauteste laut
ruhigste ruhig riesigste riesig
rundeste rund leiseste leise
rundeste rund klarste klar
rundeste rund klarste klar
rundeste rund neuste neu
rundeste rund fröhlichste fröhlich
sauberste sauber unterschiedlichste unterschiedlich
sauberste sauber stillste still
sauberste sauber steilste steil
sauberste sauber glätteste glatt
sauberste sauber deutlichste deutlich
schärfste scharf schönste schön
schärfste scharf schwächste schwach
schärfste scharf trockenste trocken
schärfste scharf tiefste tief
schärfste scharf schmalste schmal
schlankeste schlank kleinste klein
schlankeste schlank kürzeste kurz
schlankeste schlank billigste billig
schlankeste schlank wärmste warm
schlankeste schlank steilste steil
schlechteste schlecht stillste still
schlechteste schlecht schärfste scharf
schlechteste schlecht schmalste schmal
schlechteste schlecht wildeste wild
schlechteste schlecht sauberste sauber
schmalste schmal sicherste sicher
schmalste schmal klarste klar
schmalste schmal böseste böse
schmalste schmal wildeste wild
schmalste schmal neuste neu
schmutzigste schmutzig giftigste giftig
schmutzigste schmutzig genauste genau
schmutzigste schmutzig glätteste glatt
schmutzigste schmutzig rundeste rund
schmutzigste schmutzig spannendste spannend
schnellste schnell tiefste tief
schnellste schnell gesündeste gesund
schnellste schnell eckigste eckig
schnellste schnell natürlichste natürlich
schnellste schnell dünnste dünn
schrecklichste schrecklich lauteste laut
schrecklichste schrecklich liebste lieb
schrecklichste schrecklich trockenste trocken
schrecklichste schrecklich traurigste traurig
schrecklichste schrecklich härteste hart
schwächste schwach liebste lieb
schwächste schwach höchste hoch
schwächste schwach offenste offen
schwächste schwach fleißigste fleißig
schwächste schwach späteste spät
schwerste schwer neuste neu
schwerste schwer geradeste gerade
schwerste schwer schädlichste schädlich
schwerste schwer bestimmteste bestimmt
schwerste schwer bekannteste bekannt
schwierigste schwierig tiefste tief
schwierigste schwierig leiseste leise
schwierigste schwierig schmalste schmal
schwierigste schwierig dunkelste dunkel
schwierigste schwierig dunkelste dunkel
schädlichste schädlich glätteste glatt
schädlichste schädlich schrecklichste schrecklich
schädlichste schädlich steilste steil
schädlichste schädlich lauteste laut
schädlichste schädlich ärmste arm
schönste schön schärfste scharf
schönste schön gesündeste gesund
schönste schön netteste nett
schönste schön einsamste einsam
schönste schön dreckigste dreckig
sicherste sicher schwächste schwach
sicherste sicher leckerste lecker
sicherste sicher gesündeste gesund
sicherste sicher schnellste schnell
sicherste sicher böseste böse
sonnigste sonnig netteste nett
sonnigste sonnig schwächste schwach
sonnigste sonnig geringste gering
sonnigste sonnig nächste nahe
sonnigste sonnig einfachste einfach
spannendste spannend lustigste lustig
spannendste spannend längste lang
spannendste spannend liebste lieb
spannendste spannend schlankeste schlank
spannendste spannend längste lang
spitzeste spitz leiseste leise
spitzeste spitz dunkelste dunkel
spitzeste spitz kleinste klein
spitzeste spitz verschiedenste verschieden
spitzeste spitz späteste spät
späteste spät langsamste langsam
späteste spät schönste schön
späteste spät dreckigste dreckig
späteste spät schwächste schwach
späteste spät traurigste traurig
stärkste stark leichteste leicht
stärkste stark mutigste mutig
stärkste stark stillste still
stärkste stark steilste steil
stärkste stark glätteste glatt
steilste steil schwächste schwach
steilste steil dünnste dünn
steilste steil vollste voll
steilste steil weichste weich
steilste steil billigste billig
stillste still sauberste sauber
stillste still schärfste scharf
stillste still einsamste einsam
stillste still dünnste dünn
stillste still leiseste leise
tiefste tief längste lang
tiefste tief müdeste müde
tiefste tief dünnste dünn
tiefste tief leiseste leise
tiefste tief steilste steil
traurigste traurig dunkelste dunkel
traurigste traurig wichtigste wichtig
traurigste traurig schwächste schwach
traurigste traurig jüngste jung
traurigste traurig neuste neu
trockenste trocken nächste nahe
trockenste trocken natürlichste natürlich
trockenste trocken ähnlichste ähnlich
trockenste trocken fleißigste fleißig
trockenste trocken frischste frisch
unterschiedlichste unterschiedlich weiteste weit
unterschiedlichste unterschiedlich netteste nett
unterschiedlichste unterschiedlich nächste nahe
unterschiedlichste unterschiedlich rundeste rund
unterschiedlichste unterschiedlich genauste genau
verschiedenste verschieden schärfste scharf
verschiedenste verschieden spannendste spannend
verschiedenste verschieden trockenste trocken
verschiedenste verschieden kürzeste kurz
verschiedenste verschieden dreckigste dreckig
vollste voll krümmste krumm
vollste voll kleinste klein
vollste voll häufigste häufig
vollste voll einfachste einfach
vollste voll dunkelste dunkel
wahrscheinlichste wahrscheinlich schwierigste schwierig
wahrscheinlichste wahrscheinlich geringste gering
wahrscheinlichste wahrscheinlich kälteste kalt
wahrscheinlichste wahrscheinlich fleißigste fleißig
wahrscheinlichste wahrscheinlich sicherste sicher
wärmste warm faulste faul
wärmste warm größte groß
wärmste warm kälteste kalt
wärmste warm öfteste oft
wärmste warm glätteste glatt
weichste weich frischste frisch
weichste weich schwierigste schwierig
weichste weich ähnlichste ähnlich
weichste weich müdeste müde
weichste weich billigste billig
weiteste weit frischste frisch
weiteste weit dreckigste dreckig
weiteste weit unterschiedlichste unterschiedlich
weiteste weit frischste frisch
weiteste weit wichtigste wichtig
wenigste wenig wertvollste wertvoll
wenigste wenig neuste neu
wenigste wenig gesündeste gesund
wenigste wenig wildeste wild
wenigste wenig steilste steil
wertvollste wertvoll schädlichste schädlich
wertvollste wertvoll wenigste wenig
wertvollste wertvoll kälteste kalt
wertvollste wertvoll ärmste arm
wertvollste wertvoll freundlichste freundlich
wichtigste wichtig wahrscheinlichste wahrscheinlich
wichtigste wichtig deutlichste deutlich
wichtigste wichtig kleinste klein
wichtigste wichtig müdeste müde
wichtigste wichtig spitzeste spitz
wildeste wild glätteste glatt
wildeste wild häufigste häufig
wildeste wild älteste alt
wildeste wild wahrscheinlichste wahrscheinlich
wildeste wild leichteste leicht
: Adjektive: KOM/SUP
ähnlicher ähnlichste sauberer sauberste
ähnlicher ähnlichste stärker stärkste
ähnlicher ähnlichste natürlicher natürlichste
ähnlicher ähnlichste schrecklicher schrecklichste
ähnlicher ähnlichste dicker dickste
älter älteste glätter glätteste
älter älteste bestimmter bestimmteste
älter älteste schlechter schlechteste
älter älteste deutlicher deutlichste
älter älteste genauer genauste
ärmer ärmste sicherer sicherste
ärmer ärmste öfter öfteste
ärmer ärmste sicherer sicherste
ärmer ärmste länger längste
ärmer ärmste eckiger eckigste
bekannter bekannteste genauer genauste
bekannter bekannteste wärmer wärmste
bekannter bekannteste höher höchste
bekannter bekannteste wärmer wärmste
bekannter bekannteste böser böseste
bestimmter bestimmteste natürlicher natürlichste
bestimmter bestimmteste lauter lauteste
bestimmter bestimmteste praktischer praktischste
bestimmter bestimmteste eckiger eckigste
bestimmter bestimmteste dünner dünnste
billiger billigste lustiger lustigste
billiger billigste langsamer langsamste
billiger billigste schädlicher schädlichste
billiger billigste öfter öfteste
billiger billigste unterschiedlicher unterschiedlichste
böser böseste krümmer krümmste
böser böseste eckiger eckigste
böser böseste ruhiger ruhigste
böser böseste genauer genauste
böser böseste persönlicher persönlichste
deutlicher deutlichste schwächer schwächste
deutlicher deutlichste öfter öfteste
deutlicher deutlichste tiefer tiefste
deutlicher deutlichste geringer geringste
deutlicher deutlichste schmaler schmalste
dicker dickste praktischer praktischste
dicker dickste deutlicher deutlichste
dicker dickste runder rundeste
dicker dickste gerader geradeste
dicker dickste krümmer krümmste
dreckiger dreckigste ähnlicher ähnlichste
dreckiger dreckigste ruhiger ruhigste
dreckiger dreckigste krümmer krümmste
dreckiger dreckigste schrecklicher schrecklichste
dreckiger dreckigste leckerer leckerste
dümmer dümmste bestimmter bestimmteste
dümmer dümmste bekannter bekannteste
dümmer dümmste jünger jüngste
dümmer dümmste praktischer praktischste
dümmer dümmste weicher weichste
dunkler dunkelste schwächer schwächste
dunkler dunkelste wärmer wärmste
dunkler dunkelste müder müdeste
dunkler dunkelste spitzer spitzeste
dunkler dunkelste leichter leichteste
dünner dünnste höher höchste
dünner dünnste genauer genauste
dünner dünnste länger längste
dünner dünnste häufiger häufigste
dünner dünnste schöner schönste
eckiger eckigste schneller schnellste
eckiger eckigste weicher weichste
eckiger eckigste verschiedener verschiedenste
eckiger eckigste dünner dünnste
eckiger eckigste trockener trockenste
einfacher einfachste einsamer einsamste
einfacher einfachste schwächer schwächste
einfacher einfachste sicherer sicherste
einfacher einfachste älter älteste
einfacher einfachste sicherer sicherste
einsamer einsamste schwächer schwächste
einsamer einsamste voller vollste
einsamer einsamste lieber liebste
einsamer einsamste glücklicher glücklichste
einsamer einsamste spannender spannendste
eleganter eleganteste geringer geringste
eleganter eleganteste besser beste
eleganter eleganteste geringer geringste
eleganter eleganteste trockener trockenste
eleganter eleganteste giftiger giftigste
enger engste geringer geringste
enger engste giftiger giftigste
enger engste kürzer kürzeste
enger engste später späteste
enger engste müder müdeste
fauler faulste fröhlicher fröhlichste
fauler faulste schwächer schwächste
fauler faulste fröhlicher fröhlichste
fauler faulste praktischer praktischste
fauler faulste dicker dickste
fleißiger fleißigste wahrscheinlicher wahrscheinlichste
fleißiger fleißigste näher nächste
fleißiger fleißigste weiter weiteste
fleißiger fleißigste richtiger richtigste
fleißiger fleißigste schlanker schlankeste
freundlicher freundlichste leichter leichteste
freundlicher freundlichste wahrscheinlicher wahrscheinlichste
freundlicher freundlichste schädlicher schädlichste
freundlicher freundlichste lieber liebste
freundlicher freundlichste dünner dünnste
frischer frischste ähnlicher ähnlichste
frischer frischste netter netteste
frischer frischste billiger billigste
frischer frischste ärmer ärmste
frischer frischste schmutziger schmutzigste
fröhlicher fröhlichste sauberer sauberste
fröhlicher fröhlichste wärmer wärmste
fröhlicher fröhlichste schwieriger schwierigste
fröhlicher fröhlichste wärmer wärmste
fröhlicher fröhlichste neuer neuste
früher frühste unterschiedlicher unterschiedlichste
früher frühste glätter glätteste
früher frühste praktischer praktischste
früher frühste sonniger sonnigste
früher frühste schwerer schwerste
gefährlicher gefährlichste ruhiger ruhigste
gefährlicher gefährlichste eckiger eckigste
gefährlicher gefährlichste wertvoller wertvollste
gefährlicher gefährlichste giftiger giftigste
gefährlicher gefährlichste klarer klarste
genauer genauste länger längste
genauer genauste steiler steilste
genauer genauste freundlicher freundlichste
genauer genauste müder müdeste
genauer genauste trockener trockenste
gerader geradeste tiefer tiefste
gerader geradeste langsamer langsamste
gerader geradeste richtiger richtigste
gerader geradeste kälter kälteste
gerader geradeste eleganter eleganteste
geringer geringste dreckiger dreckigste
geringer geringste fröhlicher fröhlichste
geringer geringste jünger jüngste
geringer geringste ruhiger ruhigste
geringer geringste weiter weiteste
gesünder gesündeste bekannter bekannteste
gesünder gesündeste fröhlicher fröhlichste
gesünder gesündeste älter älteste
gesünder gesündeste weicher weichste
gesünder gesündeste dunkler dunkelste
giftiger giftigste eckiger eckigste
giftiger giftigste persönlicher persönlichste
giftiger giftigste häufiger häufigste
giftiger giftigste neuer neuste
giftiger giftigste wahrscheinlicher wahrscheinlichste
glätter glätteste lieber liebste
glätter glätteste früher frühste
glätter glätteste praktischer praktischste
glätter glätteste weniger wenigste
glätter glätteste lauter lauteste
glücklicher glücklichste sauberer sauberste
glücklicher glücklichste schlechter schlechteste
glücklicher glücklichste persönlicher persönlichste
glücklicher glücklichste wärmer wärmste
glücklicher glücklichste später späteste
größer größte fleißiger fleißigste
größer größte offener offenste
größer größte gesünder gesündeste
größer größte sicherer sicherste
größer größte eckiger eckigste
besser beste persönlicher persönlichste
besser beste größer größte
besser beste glätter glätteste
besser beste häufiger häufigste
besser beste klarer klarste
härter härteste jünger jüngste
härter härteste langsamer langsamste
härter härteste häufiger häufigste
härter härteste schärfer schärfste
härter härteste verschiedener verschiedenste
höher höchste schärfer schärfste
höher höchste neuer neuste
höher höchste fröhlicher fröhlichste
höher höchste offener offenste
höher höchste spannender spannendste
häufiger häufigste genauer genauste
häufiger häufigste bestimmter bestimmteste
häufiger häufigste leckerer leckerste
häufiger häufigste stärker stärkste
häufiger häufigste enger engste
jünger jüngste bekannter bekannteste
jünger jüngste müder müdeste
jünger jüngste klarer klarste
jünger jüngste dümmer dümmste
jünger jüngste persönlicher persönlichste
kälter kälteste leckerer leckerste
kälter kälteste größer größte
kälter kälteste mutiger mutigste
kälter kälteste böser böseste
kälter kälteste sauberer sauberste
klarer klarste sicherer sicherste
klarer klarste praktischer praktischste
klarer klarste fleißiger fleißigste
klarer klarste einfacher einfachste
klarer klarste wahrscheinlicher wahrscheinlichste
kleiner kleinste fröhlicher fröhlichste
kleiner kleinste schlanker schlankeste
kleiner kleinste schwieriger schwierigste
kleiner kleinste leichter leichteste
kleiner kleinste billiger billigste
krümmer krümmste fröhlicher fröhlichste
krümmer krümmste dümmer dümmste
krümmer krümmste höher höchste
krümmer krümmste dümmer dümmste
krümmer krümmste länger längste
kürzer kürzeste größer größte
kürzer kürzeste krümmer krümmste
kürzer kürzeste weniger wenigste
kürzer kürzeste stiller stillste
kürzer kürzeste geringer geringste
länger längste dümmer dümmste
länger längste neuer neuste
länger längste praktischer praktischste
länger längste schwerer schwerste
länger längste lauter lauteste
langsamer langsamste ärmer ärmste
langsamer langsamste öfter öfteste
langsamer langsamste lustiger lustigste
langsamer langsamste glätter glätteste
langsamer langsamste fleißiger fleißigste
lauter lauteste krümmer krümmste
lauter lauteste schlanker schlankeste
lauter lauteste spannender spannendste
lauter lauteste sicherer sicherste
lauter lauteste gefährlicher gefährlichste
leckerer leckerste näher nächste
leckerer leckerste trauriger traurigste
leckerer leckerste glätter glätteste
leckerer leckerste böser böseste
leckerer leckerste öfter öfteste
leichter leichteste wärmer wärmste
leichter leichteste jünger jüngste
leichter leichteste schneller schnellste
leichter leichteste kleiner kleinste
leichter leichteste netter netteste
leiser leiseste größer größte
leiser leiseste steiler steilste
leiser leiseste wertvoller wertvollste
leiser leiseste langsamer langsamste
leiser leiseste trockener trockenste
lieber liebste härter härteste
lieber liebste schrecklicher schrecklichste
lieber liebste größer größte
lieber liebste wertvoller wertvollste
lieber liebste steiler steilste
lustiger lustigste trauriger traurigste
lustiger lustigste wilder wildeste
lustiger lustigste kleiner kleinste
lustiger lustigste wahrscheinlicher wahrscheinlichste
lustiger lustigste müder müdeste
mutiger mutigste fleißiger fleißigste
mutiger mutigste wärmer wärmste
mutiger mutigste kürzer kürzeste
mutiger mutigste klarer klarste
mutiger mutigste praktischer praktischste
müder müdeste spitzer spitzeste
müder müdeste unterschiedlicher unterschiedlichste
müder müdeste schwerer schwerste
müder müdeste dünner dünnste
müder müdeste später späteste
näher nächste voller vollste
näher nächste fleißiger fleißigste
näher nächste billiger billigste
näher nächste schädlicher schädlichste
näher nächste freundlicher freundlichste
natürlicher natürlichste fleißiger fleißigste
natürlicher natürlichste höher höchste
natürlicher natürlichste glätter glätteste
natürlicher natürlichste gerader geradeste
natürlicher natürlichste unterschiedlicher unterschiedlichste
netter netteste riesiger riesigste
netter netteste ärmer ärmste
netter netteste länger längste
netter netteste runder rundeste
netter netteste tiefer tiefste
neuer neuste sicherer sicherste
neuer neuste härter härteste
neuer neuste richtiger richtigste
neuer neuste sonniger sonnigste
neuer neuste stärker stärkste
offener offenste deutlicher deutlichste
offener offenste persönlicher persönlichste
offener offenste ähnlicher ähnlichste
offener offenste schlanker schlankeste
offener offenste netter netteste
öfter öfteste offener offenste
öfter öfteste ähnlicher ähnlichste
öfter öfteste größer größte
öfter öfteste klarer klarste
öfter öfteste ruhiger ruhigste
persönlicher persönlichste sauberer sauberste
persönlicher persönlichste dicker dickste
persönlicher persönlichste dreckiger dreckigste
persönlicher persönlichste schlanker schlankeste
persönlicher persönlichste schwieriger schwierigste
praktischer praktischste natürlicher natürlichste
praktischer praktischste schneller schnellste
praktischer praktischste schwächer schwächste
praktischer praktischste leiser leiseste
praktischer praktischste wertvoller wertvollste
richtiger richtigste schneller schnellste
richtiger richtigste müder müdeste
richtiger richtigste langsamer langsamste
richtiger richtigste fleißiger fleißigste
richtiger richtigste ähnlicher ähnlichste
riesiger riesigste giftiger giftigste
riesiger riesigste wichtiger wichtigste
riesiger riesigste kürzer kürzeste
riesiger riesigste wilder wildeste
riesiger riesigste wilder wildeste
ruhiger ruhigste riesiger riesigste
ruhiger ruhigste sauberer sauberste
